stratum,group_key,comparison_group_key,similarity,rationale,headline_count,source_count,sources,signal_family,event_type,primary_entity,first_reactable_session,titles,verdict,reviewer,reviewed_at,notes
multi_source,event-cluster-transparent-v1:4362,,0.6666666666666666,carried by more than one outlet,2,2,"haberturk_ekonomi,sozcu_gundem",monetary_policy,,TCMB,2026-07-24,TCMB'den Ödemeler Dengesi'nde revizyon || TCMB'den ödemeler dengesi verilerinde revizyon kararı,,,,
multi_source,event-cluster-transparent-v1:979,,1.0,carried by more than one outlet,2,2,"aa_ekonomi,dunya",market_recap,market_move,,2026-06-05,Borsa günü düşüşle tamamladı || Borsa günü düşüşle tamamladı,,,,
multi_source,event-cluster-transparent-v1:3131,,0.3,carried by more than one outlet,2,2,"bloomberght,cumhuriyet_ekonomi",monetary_policy,,TCMB,2026-07-06,Commerzbank'tan TCMB faiz yorumu || Alman devi Commerzbank'tan faiz uyarısı: TCMB'nin indirim alanı kalmadı,,,,
multi_source,event-cluster-transparent-v1:2846,,0.5,carried by more than one outlet,3,3,"bloomberght,haberturk_ekonomi,sabah_ekonomi",political_regulatory_risk,,BORSA_ISTANBUL,2026-06-30,Borsa İstanbul yeni veri merkezini yarın devreye alacak || Borsa İstanbul yeni veri merkezini yarın devreye alıyor || Borsa İstanbul yeni veri merkezini hizmete açıyor,,,,
multi_source,event-cluster-transparent-v1:3300,,0.75,carried by more than one outlet,2,2,"bloomberght,haberturk_ekonomi",inflation_macro,,DIS_TICARET,2026-07-08,İhracat ikliminde sınırlı iyileşme || İhracat ikliminde iyileşme,,,,
multi_source,event-cluster-transparent-v1:2089,,0.6666666666666666,carried by more than one outlet,4,2,"aa_ekonomi,sozcu_gundem",market_recap,,,2026-06-18,Borsa güne yükselişle başladı || Borsa güne yükselişle başladı || Borsa güne yükselişle başladı - 17 Haziran 2026 || Borsa güne yükselişle başladı - 18 Haziran 2026,,,,
multi_source,event-cluster-transparent-v1:4844,,1.0,carried by more than one outlet,2,2,"aa_ekonomi,sabah_ekonomi",market_recap,market_move,,2026-08-06,Borsa günü yükselişle tamamladı || Borsa günü yükselişle tamamladı,,,,
multi_source,event-cluster-transparent-v1:2628,,0.3333333333333333,carried by more than one outlet,3,2,"aa_ekonomi,sabah_ekonomi",monetary_policy,,HAZINE,2026-06-26,"Hazine ve Maliye Bakanlığı kira sertifikası ihracı için 6 finans kuruluşuna yetki verdi || Hazine'den 2,75 milyar dolarlık kira sertifikası ihracı || Hazine ve Maliye Bakanlığı 2,75 milyar dolar tutarında kira sertifikası ihracı gerçekleştirdi",,,,
multi_source,event-cluster-transparent-v1:2062,,0.6666666666666666,carried by more than one outlet,2,2,"bloomberght,haberturk_ekonomi",company_kap,,ASELS,2026-06-16,Aselsan ile SSB arasında 780 milyon euroluk sözleşme || ASELSAN ile SSB arasında 780 milyon Euro'luk sözleşme,,,,
multi_source,event-cluster-transparent-v1:2331,,0.6666666666666666,carried by more than one outlet,2,2,"aa_ekonomi,sozcu_gundem",market_recap,,,2026-06-19,Borsa güne düşüşle başladı || Borsa güne düşüşle başladı - 19 Haziran 2026,,,,
multi_source,event-cluster-transparent-v1:3095,,0.6666666666666666,carried by more than one outlet,2,2,"aa_ekonomi,haberturk_ekonomi",banking_financial_sector,,,2026-07-02,Bankacılık sektörünün mevduatı geçen hafta arttı || Bankacılık sektörünün mevduatı arttı,,,,
